category,description,qty,unit,unit_price_nis,profit_%,line_total_nis,status,flag,price_ok
tiles,"ריצוף רצפה קומה ב (מנוכה 9 מ"ר ממ"ד)",41.45,מ"ר,300,25,12435,new,REVIEW,
tiles,"ריצוף רצפה קרקע",95.0,מ"ר,300,20,28500,existing,REVIEW,
tiles,"ריצוף קירות אמבטיה עליונה",19.0,מ"ר,260,25,4940,new,OK,
tiles,"ריצוף קירות אמבטיה קרקע",15.0,מ"ר,260,20,3900,existing,OK,
plaster,"טיח חוץ צפון",42.0,מ"ר,190,22,7980,new,OK,
plaster,"טיח חוץ דרום",42.0,מ"ר,190,22,7980,new,OK,
plaster,"טיח חוץ מזרח",38.0,מ"ר,190,22,7220,new,OK,
plaster,"טיח חוץ מערב",38.0,מ"ר,190,22,7220,new,OK,
plaster,"חיפוי אבן חוץ כולל פינות רשת מגולוון",80.0,מ"ר,570,30,45600,new,OK,
stairs,"מדרגות פנים קרקע לב",1,יח,22000,25,22000,new,REVIEW,
stairs,"מדרגות כניסה מערב — אבן (אפשרות א)",1,יח,700,20,700,new,REVIEW,
stairs,"מדרגות כניסה מערב — בטון (אפשרות ב)",1,יח,370,20,370,excluded,OK,
stairs,"מדרגות כניסה דרום — אבן (אפשרות א)",1,יח,700,20,700,new,REVIEW,
stairs,"מדרגות כניסה דרום — בטון (אפשרות ב)",1,יח,370,20,370,excluded,OK,
windows,"חלון אלו קומה ב",6,יח,3000,30,18000,new,REVIEW,
windows,"חלון אלו מערב ב",2,יח,3700,30,7400,new,REVIEW,
windows,"הזזה גדולה דרום",1,יח,7300,20,7300,existing,REVIEW,
windows,"חלון גדול מערב קרקע",2,יח,4900,20,9800,existing,REVIEW,
windows,"חלון קטן מזרח קרקע",2,יח,1600,20,3200,existing,REVIEW,
windows,"חלון שרות קטן מערב",1,יח,1250,20,1250,existing,REVIEW,
windows,"חלון גג",1,יח,5000,25,5000,new,REVIEW,
doors,"דלת כניסה ראשית מערב",1,יח,5700,25,5700,existing,REVIEW,
doors,"דלת כניסה דרום",1,יח,3800,25,3800,existing,REVIEW,
doors,"שער מוסך כפול צפון",1,יח,16000,20,16000,existing,REVIEW,
doors,"דלתות פנים קומה ב",5,יח,1950,30,9750,new,REVIEW,
doors,"דלתות פנים קרקע",5,יח,1950,20,9750,existing,REVIEW,
doors,"דלת חוץ מזרח",1,יח,3100,22,3100,existing,REVIEW,
sanitary,"אסלה קומה ב",1,יח,3000,25,3000,new,REVIEW,
sanitary,"כיור קומה ב",1,יח,2000,25,2000,new,REVIEW,
sanitary,"מקלחון קומה ב",1,יח,2700,25,2700,new,REVIEW,
sanitary,"אסלה קרקע",1,יח,3000,15,3000,existing,REVIEW,
sanitary,"כיור קרקע",1,יח,2000,15,2000,existing,REVIEW,
sanitary,"3 מטר כיור מטבח עם משטח שייש בשני צדדים",1,יח,9500,15,9500,existing,REVIEW,
taps,"ברז אמבטיה עליונה",2,יח,1000,30,2000,new,REVIEW,
taps,"ברז אמבטיה קרקע",2,יח,2000,20,4000,existing,REVIEW,
taps,"ברז מטבח",1,יח,0,20,0,excluded,OK,
taps,"ברז גינה",1,יח,300,25,300,new,REVIEW,
lighting,"ספוטים שקועים LED — חדרי שינה קומה ב",3,יח,450,30,1350,new,REVIEW,
lighting,"ספוט שקוע LED IP44 — אמבטיה עליונה",1,יח,450,30,450,new,REVIEW,
lighting,"ספוטים שקועים LED — מסדרון ומדרגות",2,יח,370,30,740,new,OK,
lighting,"ספוטים שקועים LED — מסדרון ומדרגות (שלב ב).",3,יח,370,30,1110,new,OK,
lighting,"תאורת חוץ LED IP65 — חזיתות הבית",4,יח,875,30,3500,new,OK,
lighting,"ספוטים LED — רענון/החלפה קומת קרקע",6,יח,270,20,1620,existing,OK,
paint,"צבע פנים קירות קומה ב (מנוכה ~32 מ"ר ממ"ד)",148,מ"ר,75,25,11100,new,OK,
paint,"צבע פנים תקרה קומה ב (מנוכה 9 מ"ר ממ"ד)",41,מ"ר,93,25,3813,new,OK,
paint,"צבע פנים חדר מדרגות",30,מ"ר,125,25,3750,new,OK,
paint,"צבע פנים קרקע רענון",250,מ"ר,60,20,15000,existing,OK,
roof,"פיגומים, רשתות בטיחות וניהול אתר — עבודות גג (גלובלי)",1,יח,4500,20,4500,new,REVIEW,
